is;ferdatimi_skoli;styrikerfi_simi;aramotaskaupid;ferdamati_skoli;hljodfaeri;morgunmatur;fri;systkini_fjoldi;dyr;tonleikar;feministi;tiktok;staerdfraedi_gaman;tannrettingar;oktoberfest;smjor_kostar;havaxnari;napoleon_faeddur;stefnumot;nemendur_fjoldi;ananas_pizza;rektor_laun;stjornumerki;fjoldi_bila;skemmtilegur;spotify_minutur;utsriftarferd;messi_staerd;kosid;likamsraekt_dagar;fjoldi_tungumala;skemmtileg_konnun;namskeid
Vanilla;20;iOS;0;Með einkabíl;Rangt;Rangt;Sólarferð á amerísku ströndina á Tenerife;4;Ketti;Gugusar;Rangt;Rangt;10;Rétt;Rangt;2000;Sigrún Helga;1886;Á kaffihús;60;Rétt;1500000;Rangt;4;Villi;18000;Rangt;173;Rétt;4;5;Já;STÆ203
Súkkulaði;20;iOS;7;Með einkabíl;Rétt;Rangt;Skíðaferð til Selva í Ítalíu;0;Ketti;Aron Can;Rétt;Rangt;9;Rangt;Rétt;;Sigrún Helga;1769;Á ísrúnt;241;Rangt;3000000;Rangt;3;Sveppi;40000;Rétt;170;Rétt;3;2;Já;STÆ203
Jarðaberja;15;Android;7;Með einkabíl;Rétt;Rétt;Sólarferð á amerísku ströndina á Tenerife;1;Hunda;Bríet;Rétt;Rangt;9;Rangt;Rangt;750;Sigrún Helga;1750;Á kaffihús;30;Rangt;1100000;Rangt;2;Villi;8397;Rétt;170;Rétt;3;2;Já;STÆ203
Vanilla;20;iOS;1;Með einkabíl;Rangt;Rangt;Sólarferð á amerísku ströndina á Tenerife;2;Hunda;Aron Can;Rétt;Rétt;8;Rangt;Rétt;700;Anna Helga;1784;Á ísrúnt;150;Rangt;2800000;Rangt;2;Villi;8000;Rétt;168;Rangt;6;3;Nei;STÆ203
Súkkulaði;60;iOS;6;Með strætó;Rangt;Rangt;Tónleikaferð til Roskilde í Danmörku;1;Hunda;Gugusar;Rétt;Rangt;8;Rangt;Rangt;;Sigrún Helga;1781;Á kaffihús;200;Rangt;6000000;Rangt;3;Sveppi;80565;Rangt;161;Rétt;3;2;Já;STÆ203
Súkkulaði;8;iOS;3;Með einkabíl;Rangt;Rétt;Sólarferð á amerísku ströndina á Tenerife;3;Hunda;Bríet;Rangt;Rangt;7;Rétt;Rangt;800;Anna Helga;1778;Á ísrúnt;238;Rangt;1300000;Rangt;1;Sveppi;43045;Rétt;170;Rangt;3;2;Nei;STÆ203
Jarðaberja;12;Android;101;Gangandi / skokkandi;Rétt;Rétt;;2;Ketti;;Rétt;Rangt;3,1416;Rangt;Rangt;700;Anna Helga,Sigrún Helga;1870;Á ísrúnt;125;Rangt;1500000;Rangt;3,1;Gói;85600;Rétt;160;Rétt;-999999;2;Já;STÆ203
Vanilla;15;Android;4;Með einkabíl;Rangt;Rangt;Skíðaferð til Selva í Ítalíu;3;Hunda;Bríet;Rétt;Rangt;10;Rétt;Rangt;;Anna Helga;1769;Í fjallgöngu;125;Rangt;1500000;Rangt;2;Villi;0;Rangt;170;Rétt;5;3;Já;STÆ203
Vanilla;30;Android;9;Með einkabíl;Rangt;Rangt;Sólarferð á amerísku ströndina á Tenerife;2;Hunda;Aron Can;Rétt;Rangt;-10;Rétt;Rétt;450;Anna Helga;1700;Á kaffihús;200;Rétt;3000000;Rangt;3;Gói;25000;Rétt;150;Rétt;4;4;Nei;STÆ203
Súkkulaði;15;iOS;7;Með einkabíl;Rangt;Rétt;Sólarferð á amerísku ströndina á Tenerife;2;Hunda;Gugusar;Rétt;Rangt;9;Rangt;Rangt;1100;Anna Helga;1779;Á kaffihús;208;Rangt;1000000;Rangt;2;Sveppi;50000;Rétt;169;Rétt;4;3;Já;STÆ203
Súkkulaði;42;Android;4;Með einkabíl;Rangt;Rétt;Sólarferð á amerísku ströndina á Tenerife;5;Hunda;Aron Can;Rétt;Rangt;7;Rangt;Rangt;437;Anna Helga;1767;Á ísrúnt;257;Rétt;800000;Rétt;2;Sveppi;5966;Rangt;174;Rétt;0;4;Já;STÆ203
Súkkulaði;20;iOS;6,9;Með einkabíl;Rangt;Rétt;Skíðaferð til Selva í Ítalíu;2;Hunda;Aron Can;Rétt;Rangt;7,5;Rétt;Rétt;1490;Anna Helga;1739;Á ísrúnt;201;Rangt;821000;Rangt;3;Sveppi;20000;Rétt;169;Rangt;4,5;3,25;Já;STÆ203
Jarðaberja;7;Android;7;Gangandi / skokkandi;Rétt;Rétt;Skíðaferð til Selva í Ítalíu;3;Hunda;Gugusar;Rétt;Rangt;7;Rangt;Rangt;279;Anna Helga;1551;Á ísrúnt;124;Rétt;1100000;Rangt;1;Gói;18186;Rétt;179;Rétt;0;4;Já;STÆ203
Súkkulaði;;iOS;8;Gangandi / skokkandi;Rangt;Rangt;Sólarferð á amerísku ströndina á Tenerife;2;Ketti;Aron Can;Rétt;Rangt;7;Rangt;Rétt;237;Anna Helga;1769;Á ísrúnt;170;Rétt;1500000;Rangt;8;Villi;1849;Rangt;170;Rétt;3;3;Nei;STÆ203
Vanilla;15;Android;8;Með einkabíl;Rétt;Rétt;Skíðaferð til Selva í Ítalíu;2;Hunda;Bríet;Rétt;Rangt;9;Rangt;Rangt;1400;Anna Helga;1698;Á ísrúnt;150;Rétt;800000;Rangt;2;Villi;27000;Rangt;170;Rétt;1;3;Já;STÆ203
Jarðaberja;25;iOS;5;Með einkabíl;Rangt;Rangt;Skíðaferð til Selva í Ítalíu;2;Hunda;Aron Can;Rétt;Rétt;7;Rangt;Rétt;;Anna Helga;1769;Í bíó;323;Rétt;1500000;Rangt;3;Gói;25336;Rétt;165;Rétt;4;3;Já;STÆ203
Vanilla;25;iOS;8,5;Með einkabíl;Rétt;Rétt;Tónleikaferð til Roskilde í Danmörku;2;Hunda;Bríet;Rétt;Rangt;8;Rangt;Rangt;1200;Anna Helga;1769;Á kaffihús;276;Rangt;1190000;Rangt;2;Gói;38467;Rangt;170;Rétt;0;6;Já;STÆ203
Súkkulaði;50;;50;Með einkabíl;Rangt;Rétt;Skíðaferð til Selva í Ítalíu;0;Hunda;Aron Can;Rétt;Rangt;8;Rétt;Rétt;329;Anna Helga;1769;Á kaffihús;237;Rétt;1350000;Rétt;3;Villi;75000;Rétt;178;Rétt;3;3;Já;STÆ203
Vanilla;15;Android;7;Með einkabíl;Rangt;Rétt;Skíðaferð til Selva í Ítalíu;0;Hunda;Gugusar;Rétt;Rangt;9;Rangt;Rétt;754;Anna Helga;1756;Á kaffihús;238;Rangt;1200000;Rangt;1;Villi;8962;Rétt;173;Rangt;3;3;Já;STÆ203
Jarðaberja;25;Android;6;Með einkabíl;Rangt;Rangt;Skíðaferð til Selva í Ítalíu;5;Ketti;Bríet;Rétt;Rétt;7;Rangt;Rangt;;Anna Helga;1754;Á kaffihús;320;Rangt;1500000;Rétt;1;Sveppi;7877;Rangt;171;Rétt;3;2;Já;STÆ203
Súkkulaði;15;iOS;3;Gangandi / skokkandi;Rétt;Rangt;Skíðaferð til Selva í Ítalíu;1;Hunda;Gugusar;Rétt;Rangt;10;Rangt;Rétt;890;Anna Helga;1700;Í fjallgöngu;200;Rangt;1200000;Rangt;3;Sveppi;50356;Rétt;170;Rétt;1;4;Já;STÆ203
Súkkulaði;16;Android;7;Gangandi / skokkandi;Rangt;Rangt;Tónleikaferð til Roskilde í Danmörku;1;Ketti;Gugusar;Rétt;Rangt;8;Rétt;Rétt;742;Anna Helga;1758;Í fjallgöngu;214;Rangt;1253976;Rangt;0;Gói;12158;Rétt;164;Rétt;5;2;Já;STÆ203
Jarðaberja;5;iOS;5;Gangandi / skokkandi;Rangt;Rétt;Skíðaferð til Selva í Ítalíu;3;Ketti;Aron Can;Rétt;Rangt;4;Rétt;Rétt;300;Anna Helga;100;Á ísrúnt;200;Rétt;4000000;Rangt;2;Sveppi;16000;Rétt;174;Rangt;5;4;Já;STÆ203
Súkkulaði;3;iOS;6;Með einkabíl;Rétt;Rangt;Skíðaferð til Selva í Ítalíu;1;Hunda;Aron Can;Rétt;Rétt;8;Rétt;Rangt;500;Anna Helga;1802;Í fjallgöngu;130;Rétt;1000000;Rangt;3;Sveppi;39761;Rétt;160;Rétt;3;3;Já;STÆ203
Jarðaberja;8;iOS;10;Með einkabíl;Rangt;Rangt;Skíðaferð til Selva í Ítalíu;4;Hunda;Gugusar;Rétt;Rétt;6;Rétt;Rangt;570;Anna Helga;1840;Í fjallgöngu;130;Rétt;1500000;Rétt;4;Sveppi;49538;Rangt;158;Rétt;1;2;Já;STÆ203
Súkkulaði;40;iOS;7;Með strætó;Rétt;Rétt;Skíðaferð til Selva í Ítalíu;1;Ketti;Aron Can;Rétt;Rangt;6;Rangt;Rétt;600;Anna Helga;1763;Í fjallgöngu;238;Rétt;1000000;Rangt;1;Gói;22000;Rétt;167;Rétt;4;3;Já;STÆ203
Vanilla;6;iOS;6;Með einkabíl;Rangt;Rangt;Skíðaferð til Selva í Ítalíu;7;Ketti;Aron Can;Rétt;Rétt;8,5;Rétt;Rétt;469;Anna Helga;1762;Á ísrúnt;180;Rangt;1200000;Rétt;3;Sveppi;33000;Rétt;153;Rangt;4;3;Já;STÆ203
Súkkulaði;30;Android;7;Með einkabíl;Rétt;Rétt;Tónleikaferð til Roskilde í Danmörku;2;Hunda;Bríet;Rétt;Rangt;9;Rétt;Rangt;300;Anna Helga;1769;Í bíó;160;Rangt;1800000;Rétt;4;Sveppi;23000;Rétt;160;Rangt;2;5;Já;STÆ203
Súkkulaði;;iOS;6;Með einkabíl;Rangt;Rangt;Skíðaferð til Selva í Ítalíu;4;Hunda;Aron Can;Rétt;Rétt;7;Rétt;Rétt;;Anna Helga;1769;Á kaffihús;140;Rangt;1600000;Rétt;3;Sveppi;20000;Rangt;165;Rétt;4;4;Já;STÆ203
Súkkulaði;20;iOS;7;Með einkabíl;Rangt;Rangt;Skíðaferð til Selva í Ítalíu;1;Hunda;Aron Can;Rétt;Rétt;8;Rangt;Rétt;560;Anna Helga;1700;Á ísrúnt;120;Rétt;1000000;Rétt;3;Gói;15605;Rangt;165;Rétt;4;4;Já;STÆ203
Súkkulaði;20;iOS;7;Með einkabíl;Rangt;Rangt;Skíðaferð til Selva í Ítalíu;2;Hunda;Bríet;Rangt;Rangt;9;Rangt;Rétt;569;Anna Helga;1800;Á ísrúnt;100;Rangt;1800000;Rangt;3;Sveppi;28000;Rétt;175;Rétt;3;9;Já;STÆ203
Vanilla;30;iOS;4;Með einkabíl;Rétt;Rangt;Skíðaferð til Selva í Ítalíu;4;Hunda;Aron Can;Rangt;Rétt;8;Rétt;Rétt;759;Anna Helga;1769;Á ísrúnt;310;Rangt;1900000;Rangt;7;Villi;49000;Rétt;170;Rangt;3;4;Já;STÆ203
Súkkulaði;40;iOS;7;Með einkabíl;Rangt;Rangt;Skíðaferð til Selva í Ítalíu;4;Ketti;Aron Can;Rétt;Rangt;10;Rangt;Rangt;760;Anna Helga;1769;Á kaffihús;50;Rangt;1500000;Rangt;2;Sveppi;8000;Rétt;160;Rangt;10;0;Nei;STÆ203
Vanilla;15;iOS;5;Með einkabíl;Rangt;Rangt;Sólarferð á amerísku ströndina á Tenerife;0;Hunda;Aron Can;Rangt;Rangt;8;Rangt;Rétt;;Anna Helga;1735;Í bíó;201;Rétt;1400000;Rétt;2;Sveppi;7258;Rangt;170;Rangt;4;4;Já;STÆ203
Jarðaberja;45;iOS;8;Með einkabíl;Rangt;Rangt;Skíðaferð til Selva í Ítalíu;1;Hunda;Aron Can;Rangt;Rangt;6;Rangt;Rangt;759;Anna Helga;1874;Á kaffihús;150;Rétt;2500000;Rangt;3;Sveppi;2500;Rétt;175;Rangt;0;2;Já;STÆ203
Vanilla;20;iOS;8;Á hjóli / rafhlaupahjóli;Rétt;Rétt;Sólarferð á amerísku ströndina á Tenerife;5;Ketti;Aron Can;Rangt;Rétt;9;Rangt;Rangt;780;Anna Helga;1945;Í bíó;130;Rangt;;Rangt;1;Sveppi;120;Rétt;145;Rangt;5;3;Já;STÆ203
Vanilla;15;iOS;3;Með einkabíl;Rangt;Rétt;Sólarferð á amerísku ströndina á Tenerife;5;Ketti;Aron Can;Rétt;Rétt;9;Rétt;Rétt;;Anna Helga;1700;Á ísrúnt;205;Rétt;1000000;Rangt;2;Sveppi;27000;Rétt;165;Rétt;3;2;Já;STÆ203
Jarðaberja;5;iOS;6;Gangandi / skokkandi;Rétt;Rétt;Skíðaferð til Selva í Ítalíu;2;Hunda;Aron Can;Rangt;Rétt;7;Rangt;Rangt;250;Anna Helga;1796;Á ísrúnt;250;Rétt;2400000;Rangt;3;Sveppi;94000;Rétt;168;Rétt;3;2;Já;STÆ203
Vanilla;5;iOS;6;Gangandi / skokkandi;Rétt;Rangt;Skíðaferð til Selva í Ítalíu;0;Ketti;Aron Can;Rétt;Rétt;3;Rétt;Rétt;487;Anna Helga;1769;Á ísrúnt;200;Rangt;600;Rétt;2;Gói;2184;Rangt;166;Rétt;1;2,5;Já;STÆ203
Súkkulaði;5;Android;7,45;Með einkabíl;Rangt;Rangt;Sólarferð á amerísku ströndina á Tenerife;8;Hunda;Aron Can;Rétt;Rangt;7;Rétt;Rangt;729;Anna Helga;1690;Á ísrúnt;250;Rétt;100000;Rangt;2;Sveppi;300000;Rétt;174;Rangt;8;6;Nei;STÆ203
Jarðaberja;8;iOS;8;Með einkabíl;Rétt;Rangt;Sólarferð á amerísku ströndina á Tenerife;3;Hunda;Aron Can;Rangt;Rétt;6;Rétt;Rétt;699;Anna Helga;1890;Á kaffihús;238;Rétt;1400000;Rangt;4;Sveppi;80000;Rétt;165;Rétt;5;4;Já;STÆ203
Vanilla;30;iOS;6;Með strætó;Rangt;Rangt;Tónleikaferð til Roskilde í Danmörku;1;Ketti;Bríet;Rétt;Rétt;5;Rétt;Rétt;760;Anna Helga;1738;Á kaffihús;160;Rangt;1600000;Rétt;3;Gói;20000;Rétt;170;Rétt;3;3;Já;STÆ203
Jarðaberja;25;iOS;7;Með einkabíl;Rangt;Rangt;Skíðaferð til Selva í Ítalíu;0,8;Ketti;Bríet;Rétt;Rétt;6;Rétt;Rétt;640;Anna Helga;1726;Á ísrúnt;97;Rétt;12000000;Rangt;4;Sveppi;100000;Rétt;189;Rétt;5;3;Nei;STÆ203
Vanilla;40;iOS;5;Með strætó;Rétt;Rétt;Skíðaferð til Selva í Ítalíu;3;Hunda;Aron Can;Rétt;Rétt;6;Rétt;Rangt;499;Anna Helga;1818;Á ísrúnt;232;Rétt;400000;Rétt;3;Gói;35000;Rangt;168;Rétt;2;3;Já;STÆ203
Súkkulaði;5;iOS;8;Með einkabíl;Rétt;Rétt;Skíðaferð til Selva í Ítalíu;4;Hunda;Gugusar;Rangt;Rangt;7;Rangt;Rétt;899;Anna Helga;3141,5;Á kaffihús;120;Rétt;2300000;Rangt;4;Sveppi;8829200;Rétt;142;Rétt;2;4;Nei;STÆ203
Jarðaberja;20;iOS;7;Með einkabíl;Rangt;Rétt;Sólarferð á amerísku ströndina á Tenerife;3;Ketti;Bríet;Rétt;Rangt;8;Rétt;Rangt;295;Sigrún Helga;1740;Í bíó;220;Rangt;600000;Rangt;2;Villi;62904;Rangt;161;Rétt;6;3;Já;STÆ203
Vanilla;56;iOS;6;Með strætó;Rangt;Rétt;Skíðaferð til Selva í Ítalíu;2;Ketti;Aron Can;Rétt;Rangt;8;Rétt;Rangt;750;Anna Helga;1729;Á ísrúnt;280;Rangt;950000;Rangt;2;Sveppi;25734;Rangt;158;Rétt;6;5;Já;STÆ203
Vanilla;8;iOS;7;Með einkabíl;Rangt;Rétt;Sólarferð á amerísku ströndina á Tenerife;4;Hunda;Aron Can;Rangt;Rangt;7;Rangt;Rétt;499;Anna Helga;1800;Á kaffihús;238;Rétt;1700000;Rangt;7;Sveppi;60000;Rétt;169;Rétt;4;4;Já;STÆ203
Vanilla;30;iOS;7;Með einkabíl;Rétt;Rangt;Skíðaferð til Selva í Ítalíu;3;Hunda;Aron Can;Rétt;Rétt;8;Rétt;Rangt;630;Anna Helga;1769;Í bíó;263;Rangt;700000;Rangt;7;Gói;13000;Rétt;1,65;Rangt;0,5;2;Já;STÆ203
Súkkulaði;15;iOS;6;Með einkabíl;Rétt;Rétt;Sólarferð á amerísku ströndina á Tenerife;1;Hunda;Aron Can;Rétt;Rangt;9;Rétt;Rétt;789;Anna Helga;1769;Í fjallgöngu;298;Rétt;1500000;Rétt;2;Sveppi;22000;Rétt;180;Rétt;5;4;Já;STÆ203
Vanilla;20;Android;8;Með einkabíl;Rangt;Rangt;Sólarferð á amerísku ströndina á Tenerife;2;Hunda;Aron Can;Rétt;Rétt;8;Rétt;Rétt;647;Anna Helga;1769;Í fjallgöngu;265;Rangt;700000;Rangt;3;Sveppi;47000;Rangt;168;Rétt;3;2;Já;STÆ203
Súkkulaði;20;iOS;8,5;Með einkabíl;Rétt;Rétt;Skíðaferð til Selva í Ítalíu;1;Hunda;Bríet;Rétt;Rangt;7;Rétt;Rangt;427;Anna Helga;1700;Á kaffihús;333;Rétt;1100000;Rétt;3;Sveppi;50;Rétt;143;Rétt;1;2;Já;STÆ203
Súkkulaði;30;iOS;5;Með einkabíl;Rétt;Rétt;Skíðaferð til Selva í Ítalíu;2;Hunda;Bríet;Rétt;Rétt;10;Rangt;Rétt;400;Anna Helga;1769;Í fjallgöngu;278;Rangt;1000000;Rétt;3;Sveppi;33759;Rangt;168;Rétt;6;3;Já;STÆ203
Súkkulaði;15;Android;;Gangandi / skokkandi;Rétt;Rangt;Skíðaferð til Selva í Ítalíu;2;Ketti;Bríet;Rétt;Rangt;9;Rétt;Rangt;;Anna Helga;1820;Á kaffihús;100;Rétt;750000;Rangt;1;Gói;23763;Rangt;170;Rétt;4;3;Já;STÆ203
Súkkulaði;6;iOS;6;Með einkabíl;Rétt;Rangt;Sólarferð á amerísku ströndina á Tenerife;3;Ketti;Aron Can;Rétt;Rétt;7;Rétt;Rétt;350;Anna Helga;1740;Á ísrúnt;200;Rétt;120000;Rangt;1;Sveppi;23541;Rangt;163;Rétt;5;2;Já;STÆ203
Jarðaberja;20;iOS;6;Með einkabíl;Rangt;Rangt;Skíðaferð til Selva í Ítalíu;2;Ketti;Aron Can;Rétt;Rangt;7;Rangt;Rangt;659;Sigrún Helga;1769;Á ísrúnt;238;Rangt;1200000;Rangt;3;Sveppi;56000;Rétt;165;Rétt;1;2;Já;STÆ203
Súkkulaði;30;iOS;6,5;Með einkabíl;Rangt;Rétt;Skíðaferð til Selva í Ítalíu;10;Hunda;Aron Can;Rétt;Rétt;6;Rétt;Rétt;380;Anna Helga;1777;Á ísrúnt;80;Rétt;1,6;Rétt;3;Sveppi;1800;Rétt;160;Rétt;3;3;Já;STÆ203
Súkkulaði;25;iOS;6;Með einkabíl;Rangt;Rangt;Sólarferð á amerísku ströndina á Tenerife;2;Hunda;Bríet;Rétt;Rangt;7;Rangt;Rétt;500;Anna Helga;1700;Á ísrúnt;200;Rangt;700000;Rangt;3;Sveppi;57000;Rangt;169;Rétt;6;4;Já;STÆ203
Súkkulaði;12;iOS;3;Með einkabíl;Rangt;Rétt;Skíðaferð til Selva í Ítalíu;2;Hunda;Aron Can;Rétt;Rétt;8;Rétt;Rétt;649;Anna Helga;1767;Á ísrúnt;121;Rétt;1000000;Rangt;2;Sveppi;25936;Rangt;169;Rétt;2;2;Já;STÆ203
Vanilla;30;iOS;8;Með einkabíl;Rétt;Rangt;Skíðaferð til Selva í Ítalíu;2;Hunda;Aron Can;Rangt;Rangt;8;Rangt;Rangt;350;Anna Helga;1600;Á kaffihús;250;Rangt;1750000;Rangt;8;Sveppi;50000;Rangt;157;Rétt;5;2;Já;STÆ203
Súkkulaði;18;iOS;6;Með einkabíl;Rangt;Rangt;Sólarferð á amerísku ströndina á Tenerife;7;Hunda;Aron Can;Rétt;Rangt;3;Rangt;Rétt;749;Anna Helga;1769;Á kaffihús;143;Rétt;850000;Rangt;2;Sveppi;32613;Rétt;170;Rangt;2;3;Já;STÆ203
Vanilla;20;iOS;8,5;Með einkabíl;Rangt;Rétt;Tónleikaferð til Roskilde í Danmörku;7;Ketti;Aron Can;Rétt;Rétt;7;Rétt;Rétt;549;Anna Helga;1769;Í bíó;238;Rangt;1200000;Rangt;4;Sveppi;25000;Rétt;171;Rangt;5;2;Já;STÆ203
Jarðaberja;35;Android;7;Með einkabíl;Rangt;Rétt;Sólarferð á amerísku ströndina á Tenerife;1;Hunda;Aron Can;Rétt;Rangt;4;Rangt;Rangt;700;Anna Helga;1818;Á ísrúnt;120;Rangt;1500000;Rétt;3;Sveppi;46000;Rangt;170;Rétt;3;4;Já;STÆ203
Súkkulaði;4;iOS;7;Með einkabíl;Rétt;Rétt;Sólarferð á amerísku ströndina á Tenerife;2;Hunda;Aron Can;Rétt;Rétt;7;Rangt;Rangt;250;Anna Helga;1750;Á ísrúnt;350;Rangt;650000;Rétt;1;Gói;25154;Rangt;168;Rétt;6;2;Já;STÆ203
Jarðaberja;20;iOS;7;Með einkabíl;Rétt;Rangt;Sólarferð á amerísku ströndina á Tenerife;1;Hunda;Bríet;Rétt;Rétt;8;Rétt;Rangt;825;Anna Helga;1854;Á kaffihús;205;Rétt;960000;Rangt;1;Sveppi;37000;Rangt;169;Rétt;4;3;Já;STÆ203
Súkkulaði;25;iOS;3;Með einkabíl;Rétt;Rangt;Skíðaferð til Selva í Ítalíu;3;Hunda;Bríet;Rétt;Rétt;8;Rangt;Rangt;400;Anna Helga;1860;Á kaffihús;230;Rangt;1000000;Rangt;4;Sveppi;30000;Rétt;175;Rétt;2;2;Já;STÆ203
Vanilla;4;Android;7;Með einkabíl;Rétt;Rangt;Tónleikaferð til Roskilde í Danmörku;5;Hunda;Gugusar;Rétt;Rétt;8;Rangt;Rangt;530;Anna Helga;1768;Á kaffihús;250;Rétt;1200000;Rétt;3;Sveppi;27663;Rétt;168;Rétt;7;2;Já;STÆ203
Vanilla;17;iOS;0,5;Með einkabíl;Rangt;Rétt;Sólarferð á amerísku ströndina á Tenerife;2;Hunda;Aron Can;Rétt;Rétt;10,5;Rangt;Rétt;546;Anna Helga;1530;Á ísrúnt;99;Rétt;1240000;Rétt;2;Sveppi;96000;Rangt;169;Rétt;2;3;Já;STÆ203
Vanilla;13;iOS;6;Með einkabíl;Rétt;Rétt;Skíðaferð til Selva í Ítalíu;3;Hunda;Bríet;Rétt;Rétt;9;Rétt;Rétt;359;Anna Helga;1120;Í fjallgöngu;252;Rétt;2,2;Rangt;4;Gói;17000;Rétt;171;Rétt;2;2;Já;STÆ203
Súkkulaði;10;iOS;7;Með einkabíl;Rangt;Rétt;Sólarferð á amerísku ströndina á Tenerife;2;Hunda;Aron Can;Rétt;Rangt;7;Rangt;Rétt;340;Anna Helga;1820;Á ísrúnt;160;Rétt;1300000;Rangt;4;Sveppi;17458;Rétt;170;Rétt;2;2;Já;STÆ203
Súkkulaði;25;Android;3;Með einkabíl;Rangt;Rétt;Sólarferð á amerísku ströndina á Tenerife;3;Ketti;Bríet;Rétt;Rangt;9;Rangt;Rangt;700;Sigrún Helga;1769;Í bíó;238;Rangt;637000;Rangt;6;Gói;0;Rangt;170;Rangt;3;2;Nei;STÆ203
Súkkulaði;10;iOS;6,5;Með einkabíl;Rangt;Rangt;Sólarferð á amerísku ströndina á Tenerife;2;Hunda;Bríet;Rétt;Rétt;7;Rangt;Rangt;690;Anna Helga;1768;Á ísrúnt;230;Rétt;1750000;Rétt;2;Sveppi;50000;Rangt;164;Rétt;5;3;Já;STÆ203
Jarðaberja;32;iOS;8;Með einkabíl;Rangt;Rangt;Skíðaferð til Selva í Ítalíu;2;Hunda;Bríet;Rétt;Rétt;9;Rangt;Rétt;527;Anna Helga;1737;Í fjallgöngu;238;Rangt;1480000;Rangt;5;Sveppi;17651;Rangt;167;Rangt;5;3;Já;STÆ203
Vanilla;5;iOS;3;Gangandi / skokkandi;Rangt;Rangt;Tónleikaferð til Roskilde í Danmörku;1;Hunda;Bríet;Rangt;Rangt;9;Rangt;Rangt;739;Sigrún Helga;1732;Á ísrúnt;320;Rétt;1500000;Rangt;2;Sveppi;35000;Rétt;160;Rétt;5;3;Já;STÆ203
Súkkulaði;45;iOS;8;Með einkabíl;Rangt;Rétt;Sólarferð á amerísku ströndina á Tenerife;2;Hunda;Aron Can;Rangt;Rangt;7;Rangt;Rangt;490;Anna Helga;1000;Á ísrúnt;250;Rétt;1200000;Rangt;2;Sveppi;70000;Rétt;160;Rangt;6;2;Já;STÆ203
Vanilla;7;iOS;8;Gangandi / skokkandi;Rétt;Rétt;Skíðaferð til Selva í Ítalíu;2;Hunda;Aron Can;Rétt;Rangt;5;Rétt;Rangt;759;Anna Helga;1750;Á ísrúnt;200;Rétt;1050000;Rétt;1;Sveppi;33630;Rangt;160;Rétt;2;4;Já;STÆ203
Vanilla;12;iOS;5;Gangandi / skokkandi;Rétt;Rétt;Skíðaferð til Selva í Ítalíu;5;Hunda;Bríet;Rétt;Rétt;10;Rétt;Rétt;500;Anna Helga;1740;Á kaffihús;200;Rangt;1200000;Rétt;2;Gói;16000;Rétt;165;Rangt;5;3;Já;STÆ203
Vanilla;20;iOS;5;Með einkabíl;Rangt;Rangt;Sólarferð á amerísku ströndina á Tenerife;1;Hunda;;Rétt;Rangt;7;Rangt;Rétt;300;Anna Helga;1920;Á kaffihús;89;Rétt;1000000;Rangt;2;Sveppi;12075;Rétt;175;Rangt;0;3;Já;STÆ203
Jarðaberja;15;iOS;7;Með einkabíl;Rangt;Rétt;Skíðaferð til Selva í Ítalíu;2;Hunda;Bríet;Rétt;Rétt;5;Rétt;Rétt;561;Anna Helga;1769;Á ísrúnt;200;Rétt;600000;Rangt;3;Sveppi;28,177;Rangt;174;Rétt;4;2;Já;STÆ203
Jarðaberja;22;iOS;8;Með einkabíl;Rétt;Rétt;Skíðaferð til Selva í Ítalíu;1;Ketti;Bríet;Rétt;Rangt;5;Rétt;Rétt;500;Anna Helga;1749;Á kaffihús;238;Rétt;600000;Rangt;2;Sveppi;38000;Rétt;172;Rétt;0;3;Já;STÆ203
Vanilla;30;iOS;8;Með einkabíl;Rétt;Rangt;Sólarferð á amerísku ströndina á Tenerife;2;Hunda;Aron Can;Rétt;Rangt;8;Rétt;Rétt;450;Anna Helga;1768;Á ísrúnt;238;Rangt;1100000;Rangt;4;Sveppi;16137;Rétt;171;Rétt;3;2;Já;STÆ203
