is;ferdatimi_skoli;styrikerfi_simi;aramotaskaupid;ferdamati_skoli;hljodfaeri;morgunmatur;fri;systkini_fjoldi;dyr;tonleikar;feministi;tiktok;staerdfraedi_gaman;tannrettingar;oktoberfest;smjor_kostar;havaxnari;napoleon_faeddur;stefnumot;nemendur_fjoldi;ananas_pizza;rektor_laun;stjornumerki;fjoldi_bila;skemmtilegur;spotify_minutur;utsriftarferd;messi_staerd;kosid;likamsraekt_dagar;fjoldi_tungumala;skemmtileg_konnun;namskeid
Súkkulaði;15;iOS;4;Með einkabíl;Rangt;Rétt;Tónleikaferð til Roskilde í Danmörku;2;Hunda;Gugusar;Rétt;Rangt;8;Rétt;Rétt;500;Anna Helga;1000;Á kaffihús;45;Rangt;1000000;Rangt;1;Gói;20000;Rangt;188;Rétt;4;3;Já;STÆ203
Súkkulaði;20;iOS;7;Með einkabíl;Rétt;Rétt;Skíðaferð til Selva í Ítalíu;2;Ketti;Aron Can;Rétt;Rangt;8;Rangt;Rétt;1000;Anna Helga;1750;Á ísrúnt;230;Rétt;1000000;Rangt;4;Sveppi;36000;Rétt;170;Rangt;3;7;Já;STÆ203
Vanilla;45;iOS;6;Með einkabíl;Rangt;Rangt;Sólarferð á amerísku ströndina á Tenerife;2;Hunda;Aron Can;Rétt;Rétt;7;Rangt;Rangt;745;Anna Helga;1717;Á ísrúnt;253;Rétt;1234000;Rangt;3;Gói;41631;Rangt;165;Rétt;2;3;Já;STÆ203
Súkkulaði;3;iOS;9;Gangandi / skokkandi;Rangt;Rangt;Tónleikaferð til Roskilde í Danmörku;2;Hunda;Aron Can;Rétt;Rangt;8;Rangt;Rétt;759;Anna Helga;1769;Á ísrúnt;238;Rangt;1900000;Rangt;2;Sveppi;17298;Rangt;170;Rétt;4;2,5;Já;STÆ203
Vanilla;13;Android;7;Með einkabíl;Rétt;Rangt;Sólarferð á amerísku ströndina á Tenerife;2;Hunda;Aron Can;Rangt;Rangt;9;Rangt;Rangt;;Anna Helga;1789;Á kaffihús;230;Rétt;1000000;Rangt;2;Gói;44400;Rangt;175;Rangt;3;3;Já;STÆ203
Súkkulaði;25;iOS;5;Með strætó;Rétt;Rétt;Sólarferð á amerísku ströndina á Tenerife;1;Hunda;Gugusar;Rétt;Rangt;8;Rangt;Rétt;300;Anna Helga;1860;Á ísrúnt;120;Rétt;100000;Rangt;1;Sveppi;16000;Rétt;167;Rangt;0;2,3;Já;STÆ203
Súkkulaði;15;iOS;3;Með einkabíl;Rétt;Rangt;Tónleikaferð til Roskilde í Danmörku;5;Ketti;Aron Can;Rétt;Rétt;9;Rangt;Rétt;550;Anna Helga;1792;Á ísrúnt;200;Rétt;900000;Rétt;2;Sveppi;36000;Rétt;1,68;Rétt;1;2;Já;STÆ203
Vanilla;4;iOS;8;Með einkabíl;Rétt;Rangt;Tónleikaferð til Roskilde í Danmörku;2;Hunda;Aron Can;Rétt;Rétt;7;Rétt;Rétt;650;Anna Helga;1878;Á ísrúnt;236;Rétt;900000;Rétt;3;Sveppi;35000;Rétt;168;Rétt;6;2;Já;STÆ203
Súkkulaði;15;iOS;8,5;Með einkabíl;Rangt;Rangt;Sólarferð á amerísku ströndina á Tenerife;2;Hunda;Aron Can;Rétt;Rétt;8;Rangt;Rétt;700;Anna Helga;1780;Á ísrúnt;280;Rétt;800000;Rangt;3;Gói;25800;Rétt;170;Rétt;4;2;Já;STÆ203
Jarðaberja;20;iOS;;Með einkabíl;Rétt;Rétt;Skíðaferð til Selva í Ítalíu;6;Ketti;Aron Can;Rétt;Rétt;2;Rangt;Rangt;519;Anna Helga;1729;Á ísrúnt;140;Rangt;1000000;Rangt;1;Sveppi;96800;Rangt;175;Rangt;6;3;Nei;STÆ203
Súkkulaði;16;iOS;4;Með einkabíl;Rétt;Rétt;Tónleikaferð til Roskilde í Danmörku;3;Ketti;Bríet;Rétt;Rétt;8;Rangt;Rétt;800;Anna Helga;1770;Á kaffihús;60;Rétt;1,5;Rétt;3;Gói;19000;Rétt;170;Rétt;0;2;Já;STÆ203
Vanilla;30;iOS;5;Með einkabíl;Rétt;Rétt;Sólarferð á amerísku ströndina á Tenerife;2;Hunda;Aron Can;Rétt;Rangt;3;Rangt;Rétt;345;Anna Helga;1769;Á kaffihús;238;Rétt;840000;Rangt;4;Villi;15700;Rétt;169;Rétt;2;2;Já;STÆ203
Vanilla;7;iOS;7;Með einkabíl;Rangt;Rétt;Sólarferð á amerísku ströndina á Tenerife;1;Hunda;Aron Can;Rétt;Rétt;8;Rétt;Rétt;618;Anna Helga;1867;Á ísrúnt;317;Rangt;800000;Rétt;2;Sveppi;189;Rétt;156;Rétt;4;2;Já;STÆ203
Vanilla;10;iOS;9;Með einkabíl;Rangt;Rétt;Sólarferð á amerísku ströndina á Tenerife;2;Hunda;Aron Can;Rangt;Rangt;9;Rangt;Rétt;600;Anna Helga;1700;Á ísrúnt;100;Rétt;1500000;Rangt;3;Sveppi;50000;Rangt;170;Rétt;5;2;Já;STÆ203
Súkkulaði;5;iOS;7;Gangandi / skokkandi;Rétt;Rangt;Sólarferð á amerísku ströndina á Tenerife;2;Ketti;Bríet;Rétt;Rangt;8;Rétt;Rangt;595;Anna Helga;1765;Á kaffihús;238;Rétt;1400000;Rétt;0;Villi;2800;Rangt;186;Rétt;0;3;Já;STÆ203
Súkkulaði;8;Android;7;Með einkabíl;Rangt;Rétt;Skíðaferð til Selva í Ítalíu;2;Ketti;Gugusar;Rétt;Rangt;6;Rétt;Rétt;587;Anna Helga;1887;Á kaffihús;147;Rétt;1000000;Rangt;1;Sveppi;29000;Rangt;175;Rétt;0;2;Já;STÆ203
Vanilla;5;iOS;7;Með einkabíl;Rangt;Rétt;Skíðaferð til Selva í Ítalíu;3;Hunda;Aron Can;Rétt;Rangt;8;Rangt;Rétt;750;Anna Helga;1790;Í fjallgöngu;170;Rétt;2160000;Rangt;1;Sveppi;82000;Rétt;170;Rangt;6;2;Já;STÆ203
Jarðaberja;20;iOS;3;Með einkabíl;Rangt;Rétt;Skíðaferð til Selva í Ítalíu;1;Hunda;Bríet;Rétt;Rétt;7;Rétt;Rangt;1000;Anna Helga;1840;Á ísrúnt;80;Rétt;20000000;Rangt;2;Sveppi;20000;Rangt;170;Rangt;9;4;Já;STÆ203
Vanilla;20;iOS;7,5;Með strætó;Rétt;Rétt;Sólarferð á amerísku ströndina á Tenerife;2;Ketti;Aron Can;Rétt;Rangt;10;Rétt;Rangt;450;Anna Helga;1751;Á ísrúnt;265;Rangt;1500000;Rétt;0;Villi;43967;Rangt;179;Rétt;3;3;Já;STÆ203
Vanilla;30;iOS;10;Með einkabíl;Rétt;Rangt;Skíðaferð til Selva í Ítalíu;4;Hunda;Aron Can;Rétt;Rangt;6;Rangt;Rangt;400;Sigrún Helga;1400;Í fjallgöngu;120;Rétt;1000000;Rangt;5;Sveppi;21000;Rangt;178;Rétt;0;2;Já;STÆ203
Súkkulaði;20;iOS;7;Með einkabíl;Rangt;Rangt;Skíðaferð til Selva í Ítalíu;2;Hunda;Bríet;Rétt;Rangt;8;Rangt;Rétt;450;Anna Helga;1900;Á ísrúnt;300;Rangt;1000000;Rangt;4;Sveppi;25000;Rétt;165;Rétt;6;2;Já;STÆ203
Súkkulaði;15;iOS;7;Með einkabíl;Rétt;Rangt;Skíðaferð til Selva í Ítalíu;1;Hunda;Aron Can;Rétt;Rétt;7;Rétt;Rétt;399;Sigrún Helga;1769;Í fjallgöngu;130;Rangt;1400000;Rangt;2;Sveppi;2000;Rangt;1,7;Rangt;5;4;Já;STÆ203
Jarðaberja;40;Android;5;Með einkabíl;Rangt;Rétt;Sólarferð á amerísku ströndina á Tenerife;5;Hunda;Bríet;Rétt;Rangt;7;Rétt;Rangt;715;Anna Helga;1769;Á ísrúnt;120;Rétt;3451142;Rétt;2;Villi;1201;Rangt;168;Rétt;0;3;Já;STÆ203
Súkkulaði;21;iOS;7;Með strætó;Rangt;Rétt;Sólarferð á amerísku ströndina á Tenerife;2;Hunda;Bríet;Rétt;Rangt;2;Rangt;Rangt;300;Anna Helga;1560;Á kaffihús;140;Rétt;1200000;Rangt;1;Sveppi;5200;Rangt;167;Rétt;5;4;Já;STÆ203
Súkkulaði;30;Android;8;Með einkabíl;Rangt;Rangt;Skíðaferð til Selva í Ítalíu;2;Ketti;Aron Can;Rétt;Rangt;9;Rétt;Rétt;379;Anna Helga;1800;Á ísrúnt;200;Rétt;2500000;Rangt;3;Villi;59000;Rétt;159;Rétt;4;2;Já;STÆ203
Vanilla;10;iOS;7;Með einkabíl;Rétt;Rétt;Skíðaferð til Selva í Ítalíu;2;Hunda;Aron Can;Rétt;Rétt;5;Rétt;Rangt;495;Anna Helga;1650;Í fjallgöngu;190;Rangt;1500000;Rangt;4;Sveppi;42000;Rétt;169;Rétt;5;2;Já;STÆ203
Súkkulaði;25;iOS;9;Með einkabíl;Rangt;Rangt;Sólarferð á amerísku ströndina á Tenerife;3;Hunda;Aron Can;Rétt;Rangt;10;Rétt;Rangt;759;Anna Helga;1769;Á ísrúnt;278;Rangt;1900000;Rangt;3;Gói;28570;Rétt;170;Rangt;0;2;Já;STÆ203
Vanilla;60;iOS;7;Með einkabíl;Rangt;Rétt;Sólarferð á amerísku ströndina á Tenerife;4;Hunda;Aron Can;Rétt;Rangt;8;Rétt;Rangt;785;Anna Helga;1701;Á ísrúnt;200;Rétt;1200000;Rangt;4;Gói;54486;Rangt;175;Rétt;4;2;Já;STÆ203
Vanilla;30;iOS;6;Með einkabíl;Rétt;Rangt;Skíðaferð til Selva í Ítalíu;1;Hunda;Aron Can;Rétt;Rétt;8;Rangt;Rétt;649;Anna Helga;1756;Á kaffihús;120;Rangt;800000;Rangt;5;Gói;45000;Rétt;163;Rétt;4;2,5;Já;STÆ203
Súkkulaði;5;iOS;7;Með einkabíl;Rangt;Rétt;Tónleikaferð til Roskilde í Danmörku;1;Hunda;Aron Can;Rétt;Rétt;10;Rétt;Rétt;600;Anna Helga;1769;Á ísrúnt;240;Rétt;1500000;Rétt;1;Sveppi;72432;Rétt;165;Rangt;0;3;Já;STÆ203
Súkkulaði;;iOS;7;Með einkabíl;Rangt;Rétt;Sólarferð á amerísku ströndina á Tenerife;3;Ketti;Aron Can;Rétt;Rétt;9;Rétt;Rétt;259;Anna Helga;1870;Í fjallgöngu;210;Rétt;1500000;Rangt;3;Sveppi;50000;Rangt;159;Rétt;4;2;Já;STÆ203
Jarðaberja;15;iOS;6;Með einkabíl;Rangt;Rétt;Sólarferð á amerísku ströndina á Tenerife;2;Ketti;Aron Can;Rétt;Rangt;10;Rangt;Rangt;700;Anna Helga;1769;Á kaffihús;220;Rétt;1,4;Rangt;3;Gói;20000;Rétt;169;Rétt;5;2;Nei;STÆ203
Jarðaberja;20;iOS;7;Með einkabíl;Rangt;Rétt;Skíðaferð til Selva í Ítalíu;2;Ketti;Aron Can;Rétt;Rétt;8;Rétt;Rangt;259;Sigrún Helga;1867;Á ísrúnt;250;Rétt;700000;Rétt;3;Sveppi;180000;Rétt;169;Rangt;3;5;Já;STÆ203
Vanilla;10;iOS;7;Gangandi / skokkandi;Rangt;Rétt;Sólarferð á amerísku ströndina á Tenerife;2;Hunda;Aron Can;Rétt;Rangt;0;Rétt;Rangt;649;Sigrún Helga;1769;Á ísrúnt;278;Rangt;1300000;Rétt;4;Sveppi;40000;Rangt;170;Rétt;3;2;Nei;STÆ203
Jarðaberja;38;Android;6;Með strætó;Rétt;Rétt;Tónleikaferð til Roskilde í Danmörku;4;Ketti;Bríet;Rétt;Rangt;9;Rangt;Rangt;430;Anna Helga;1770;Á kaffihús;200;Rangt;1200000;Rangt;0;Villi;35000;Rangt;170;Rétt;5;4;Já;STÆ203
Súkkulaði;20;iOS;8;Með einkabíl;Rétt;Rétt;Tónleikaferð til Roskilde í Danmörku;3;Hunda;Gugusar;Rétt;Rétt;8;Rétt;Rétt;750;Anna Helga;1769;Í fjallgöngu;238;Rétt;750000;Rétt;2;Gói;150000;Rangt;175;Rétt;0;3;Já;STÆ203
Súkkulaði;12;iOS;1;Með einkabíl;Rangt;Rétt;Skíðaferð til Selva í Ítalíu;3;Hunda;Aron Can;Rétt;Rétt;10;Rangt;Rétt;650;Anna Helga;1804;Á kaffihús;84;Rétt;1500000;Rétt;4;Sveppi;67000;Rangt;169;Rétt;3;3;Já;STÆ203
Jarðaberja;20;iOS;8;Með einkabíl;Rangt;Rétt;Skíðaferð til Selva í Ítalíu;4;Hunda;Aron Can;Rétt;Rétt;0;Rétt;Rétt;782;Sigrún Helga;1940;Á kaffihús;150;Rangt;2500000;Rangt;2;Sveppi;50000000;Rétt;165;Rétt;4;4;Já;STÆ203
Súkkulaði;25;iOS;7;Gangandi / skokkandi;Rétt;Rétt;Tónleikaferð til Roskilde í Danmörku;1;Hunda;Bríet;Rétt;Rangt;3;Rangt;Rétt;600;Anna Helga;1760;Á ísrúnt;150;Rétt;1200000;Rangt;3;Villi;40000;Rétt;164;Rétt;0;3,5;Já;STÆ203
Súkkulaði;25;iOS;6;Með strætó;Rangt;Rétt;Tónleikaferð til Roskilde í Danmörku;3;Ketti;Aron Can;Rétt;Rangt;8;Rangt;Rangt;453;Anna Helga;1873;Í fjallgöngu;154;Rétt;1400000;Rangt;2;Villi;3408;Rangt;172;Rétt;3;4;Nei;STÆ203
Súkkulaði;15;Android;7;Með einkabíl;Rangt;Rangt;Skíðaferð til Selva í Ítalíu;3;Ketti;Gugusar;Rétt;Rangt;9;Rétt;Rétt;599;Sigrún Helga;1850;Á kaffihús;200;Rangt;1500000;Rangt;3;Sveppi;1000;Rangt;160;Rétt;0;4;Já;STÆ203
Súkkulaði;2;Android;9;Gangandi / skokkandi;Rétt;Rétt;Sólarferð á amerísku ströndina á Tenerife;3;Hunda;Bríet;Rangt;Rangt;5;Rangt;Rétt;750;Anna Helga;1856;Á ísrúnt;250;Rétt;1500000;Rangt;1;Sveppi;0;Rétt;162;Rétt;0;2;Já;STÆ203
Jarðaberja;10;Android;6;Gangandi / skokkandi;Rangt;Rangt;Sólarferð á amerísku ströndina á Tenerife;2;Hunda;Bríet;Rétt;Rangt;9;Rangt;Rangt;489;Anna Helga;1789;Á kaffihús;200;Rétt;1200000;Rangt;1;Villi;36603;Rangt;173;Rétt;0;4;Já;STÆ203
Jarðaberja;15;iOS;8;Með einkabíl;Rangt;Rangt;Sólarferð á amerísku ströndina á Tenerife;2;Ketti;Aron Can;Rétt;Rangt;4;Rétt;Rétt;600;Anna Helga;1700;Á ísrúnt;200;Rétt;900000;Rangt;4;Sveppi;30000;Rangt;175;Rangt;2;3;Já;STÆ203
Súkkulaði;15;iOS;8;Með einkabíl;Rangt;Rétt;Sólarferð á amerísku ströndina á Tenerife;2;Hunda;Bríet;Rétt;Rangt;9;Rétt;Rangt;399;Anna Helga;1769;Á ísrúnt;234;Rétt;550000;Rétt;4;Gói;69987;Rangt;174;Rangt;7;4;Já;STÆ203
Súkkulaði;10;Android;8;Gangandi / skokkandi;Rétt;Rétt;Sólarferð á amerísku ströndina á Tenerife;3;Hunda;Gugusar;Rangt;Rangt;7;Rétt;Rétt;750;Anna Helga;1589;Á ísrúnt;230;Rangt;1,5;Rangt;1;Sveppi;64000;Rétt;168;Rangt;4;2;Já;STÆ203
Súkkulaði;20;iOS;4;Með einkabíl;Rétt;Rétt;Skíðaferð til Selva í Ítalíu;2;Hunda;Aron Can;Rangt;Rétt;8;Rétt;Rangt;694;Anna Helga;1769;Á ísrúnt;214;Rétt;1300000;Rangt;2;Sveppi;39170;Rangt;170;Rétt;4;3;Já;STÆ203
Jarðaberja;70;iOS;6;Með strætó;Rangt;Rangt;Sólarferð á amerísku ströndina á Tenerife;5;Hunda;Aron Can;Rétt;Rangt;5;Rétt;Rangt;;Anna Helga;1750;Á ísrúnt;200;Rétt;2200000;Rangt;2;Sveppi;150000;Rangt;165;Rangt;4;2;Já;STÆ203
Súkkulaði;;iOS;3;Með strætó;Rétt;Rétt;Sólarferð á amerísku ströndina á Tenerife;6;Ketti;Bríet;Rétt;Rétt;5;Rétt;Rangt;500;Anna Helga;1850;Í fjallgöngu;264;Rétt;800000;Rangt;1;Villi;28000;Rangt;;Rétt;2;4;Nei;STÆ203
Vanilla;80;iOS;8;Með strætó;Rétt;Rangt;Skíðaferð til Selva í Ítalíu;1;Hunda;Aron Can;Rétt;Rétt;10;Rétt;Rétt;1200;Anna Helga;1888;Á kaffihús;200;Rétt;800000;Rangt;2;Sveppi;60000;Rétt;160;Rangt;0;3;Já;STÆ203
Vanilla;43;iOS;7;Með strætó;Rangt;Rétt;Skíðaferð til Selva í Ítalíu;2;Hunda;Aron Can;Rétt;Rangt;9;Rétt;Rétt;500;Anna Helga,Sigrún Helga;1820;Á kaffihús;220;Rétt;1900000;Rangt;2;Sveppi;11000;Rangt;160;Rétt;1;2;Nei;STÆ203
Vanilla;6;Android;7;Gangandi / skokkandi;Rétt;Rétt;Skíðaferð til Selva í Ítalíu;2;Ketti;Gugusar;Rétt;Rangt;10;Rangt;Rangt;620;Anna Helga,Sigrún Helga;1742;Í fjallgöngu;225;Rétt;1500000;Rangt;2;Villi;34684;Rétt;174;Rangt;4;3;Já;STÆ203
Súkkulaði;30;iOS;10;Með einkabíl;Rangt;Rétt;Tónleikaferð til Roskilde í Danmörku;6;Hunda;Aron Can;Rétt;Rétt;10;Rétt;Rétt;500;Sigrún Helga;1900;Á kaffihús;222;Rétt;1000000;Rangt;3;Sveppi;48257;Rétt;171;Rangt;0;2;Já;STÆ203
Súkkulaði;20;iOS;7;Með strætó;Rangt;Rangt;Skíðaferð til Selva í Ítalíu;1;Ketti;Aron Can;Rétt;Rétt;8;Rangt;Rétt;499;Sigrún Helga;1811;Á kaffihús;225;Rangt;1105934;Rangt;2;Gói;391856;Rétt;179;Rangt;4;3;Já;STÆ203
Súkkulaði;25;iOS;7;Með einkabíl;Rétt;Rétt;Sólarferð á amerísku ströndina á Tenerife;1;Ketti;Bríet;Rétt;Rétt;8;Rangt;Rétt;689;Sigrún Helga;1450;Á kaffihús;225;Rangt;790000;Rangt;3;Sveppi;17000;Rétt;172;Rangt;3;3;Já;STÆ203
Súkkulaði;25;Android;3;Með einkabíl;Rétt;Rétt;Skíðaferð til Selva í Ítalíu;1;Hunda;Bríet;Rétt;Rangt;10;Rangt;Rangt;800;Anna Helga,Sigrún Helga;1769;Á ísrúnt;222;Rétt;1300000;Rangt;1;Sveppi;40000;Rangt;169;Rangt;1;3;Já;STÆ203
Súkkulaði;20;Android;7;Með einkabíl;Rétt;Rétt;Tónleikaferð til Roskilde í Danmörku;8;Hunda;Bríet;Rétt;Rétt;8;Rangt;Rétt;250;Sigrún Helga;1597;Á kaffihús;250;Rangt;1700000;Rangt;514897634;Gói;46345;Rangt;165;Rétt;0;4;Já;STÆ203
Súkkulaði;0;Android;7;Á annan hátt;Rétt;Rangt;Skíðaferð til Selva í Ítalíu;3;Ketti;Gugusar;Rétt;Rangt;8;Rétt;Rangt;450;Anna Helga;1790;Á kaffihús;67;Rétt;1500000;Rangt;0;Gói;19682;Rangt;168;Rétt;1;2;Já;STÆ203
Jarðaberja;70;iOS;7;Með strætó;Rangt;Rétt;Tónleikaferð til Roskilde í Danmörku;5;Ketti;Gugusar;Rétt;Rétt;6;Rangt;Rangt;645;Sigrún Helga;1875;Á ísrúnt;150;Rétt;700000;Rétt;2;Gói;28048;Rangt;166;Rétt;3;2;Já;STÆ203
Súkkulaði;6;Android;6;Gangandi / skokkandi;Rétt;Rétt;Skíðaferð til Selva í Ítalíu;2;Hunda;Bríet;Rétt;Rangt;10;Rétt;Rétt;620;Anna Helga;1492;Á kaffihús;180;Rétt;2300000;Rangt;2;Villi;40000;Rangt;192;Rétt;3;3;Já;STÆ203
Vanilla;20;iOS;8;Með einkabíl;Rangt;Rétt;Skíðaferð til Selva í Ítalíu;2;Hunda;Aron Can;Rétt;Rétt;8;Rangt;Rétt;600;Sigrún Helga;1769;Á ísrúnt;180;Rangt;1200000;Rétt;3;Sveppi;1;Rétt;160;Rétt;5;2;Já;STÆ203
Súkkulaði;20;iOS;1;Með einkabíl;Rétt;Rangt;Skíðaferð til Selva í Ítalíu;1;Hunda;Aron Can;Rangt;Rangt;4;Rétt;Rangt;600;Anna Helga;1769;Á kaffihús;200;Rangt;1500000;Rétt;2;Villi;8105;Rangt;169;Rétt;0;5;Já;STÆ209
Súkkulaði;30;Android;6;Með einkabíl;Rétt;Rétt;Skíðaferð til Selva í Ítalíu;3;Hunda;Gugusar;Rangt;Rétt;7;Rangt;Rétt;200;Sigrún Helga;1841;Á kaffihús;90;Rétt;1200000;Rangt;1;Sveppi;10000;Rétt;154;Rétt;5;2;Já;STÆ209
Súkkulaði;10;iOS;8,5;Með einkabíl;Rangt;Rétt;Tónleikaferð til Roskilde í Danmörku;2;Hunda;Bríet;Rétt;Rétt;8,5;Rangt;Rangt;650;Anna Helga;1750;Á kaffihús;200;Rétt;1600000;Rétt;3;Sveppi;19826;Rangt;167;Rétt;3;3;Já;STÆ209
Vanilla;50;iOS;8;Með einkabíl;Rétt;Rétt;Sólarferð á amerísku ströndina á Tenerife;4;Hunda;Bríet;Rétt;Rétt;6;Rétt;Rangt;900;Sigrún Helga;1813;Á ísrúnt;40;Rangt;2300000;Rétt;3;Sveppi;41822;Rangt;173;Rétt;1;2;Já;STÆ209
Vanilla;0;iOS;0;Á annan hátt;Rangt;Rangt;Sólarferð á amerísku ströndina á Tenerife;4;Ketti;Aron Can;Rétt;Rétt;9;Rangt;Rangt;396;Anna Helga;1700;Á ísrúnt;231;Rangt;2500000;Rétt;2;Sveppi;10936;Rangt;1,73;Rétt;3;2;Já;STÆ209
Jarðaberja;10;iOS;5;Með einkabíl;Rétt;Rétt;Sólarferð á amerísku ströndina á Tenerife;2;Ketti;Aron Can;Rétt;Rétt;5;Rangt;Rétt;450;Anna Helga;1750;Á kaffihús;213;Rangt;1500000;Rangt;2;Gói;26892;Rétt;170;Rangt;2;4;Já;STÆ209
Jarðaberja;0;Android;8;Á annan hátt;Rétt;Rangt;Sólarferð á amerísku ströndina á Tenerife;1;Hunda;Bríet;Rangt;Rangt;4;Rangt;Rangt;379;Anna Helga;1718;Á ísrúnt;150;Rétt;550000;Rangt;2;Sveppi;53362;Rangt;179;Rangt;0;2;Nei;STÆ209
Súkkulaði;7;iOS;7;Með einkabíl;Rangt;Rangt;Sólarferð á amerísku ströndina á Tenerife;2;Ketti;Gugusar;Rétt;Rangt;8;Rangt;Rétt;700;Anna Helga;1780;Í fjallgöngu;150;Rangt;1200000;Rangt;1;Sveppi;31398;Rétt;175;Rétt;5;3;Já;STÆ209
Jarðaberja;30;Android;6;Gangandi / skokkandi;Rangt;Rétt;Tónleikaferð til Roskilde í Danmörku;2;Hunda;Gugusar;Rétt;Rangt;4;Rangt;Rangt;650;Sigrún Helga;1750;Í bíó;150;Rangt;1500000;Rangt;0;Villi;53800;Rangt;165;Rétt;2;4;Já;STÆ209
Jarðaberja;30;iOS;3;Með strætó;Rangt;Rétt;Tónleikaferð til Roskilde í Danmörku;1;Ketti;Bríet;Rétt;Rétt;6;Rétt;Rétt;398;Sigrún Helga;1774;Á kaffihús;148;Rétt;3,5;Rangt;0;Sveppi;200000;Rétt;1,86;Rétt;6;2;Já;STÆ209
Súkkulaði;3;iOS;7;Gangandi / skokkandi;Rangt;Rangt;Tónleikaferð til Roskilde í Danmörku;2;Ketti;Bríet;Rétt;Rangt;8;Rangt;Rétt;798;Anna Helga;1742;Á kaffihús;93;Rangt;3000000;Rangt;1;Sveppi;5,8;Rangt;167;Rétt;6;2;Já;STÆ209
Súkkulaði;15;iOS;8;Með einkabíl;Rétt;Rétt;Tónleikaferð til Roskilde í Danmörku;3;Hunda;Bríet;Rangt;Rangt;3;Rangt;Rangt;;Anna Helga;1769;Á ísrúnt;150;Rétt;1500000;Rangt;3;Sveppi;30000;Rétt;165;Rétt;3;3;Já;STÆ209
Vanilla;50;iOS;8;Með einkabíl;Rangt;Rétt;Sólarferð á amerísku ströndina á Tenerife;2;Hunda;Aron Can;Rangt;Rangt;8;Rétt;Rétt;600;Anna Helga;1769;Á ísrúnt;30;Rangt;1000000;Rangt;1;Sveppi;30000;Rangt;170;Rétt;3;3;Já;STÆ209
Vanilla;35;iOS;9;Með strætó;Rangt;Rangt;Skíðaferð til Selva í Ítalíu;2;Ketti;Aron Can;Rétt;Rangt;7;Rangt;Rangt;575;Anna Helga;1800;Í fjallgöngu;60;Rétt;1200000;Rangt;2500000;Villi;19000;Rangt;178;Rétt;2;3,5;Já;STÆ209
Vanilla;5;Android;6;Gangandi / skokkandi;Rétt;Rangt;Sólarferð á amerísku ströndina á Tenerife;4;Hunda;Bríet;Rangt;Rangt;9;Rangt;Rangt;700;Anna Helga;1769;Á kaffihús;120;Rétt;1300000;Rangt;1;Sveppi;5;Rangt;173;Rétt;3;4;Já;STÆ209
Súkkulaði;25;Android;;Með strætó;Rétt;Rangt;Sólarferð á amerísku ströndina á Tenerife;2;Ketti;;Rétt;Rangt;7;Rangt;Rangt;450;Anna Helga;1780;Á ísrúnt;234;Rétt;1500000;Rangt;1;;0;Rétt;180;Rétt;0;3;Nei;STÆ209
Súkkulaði;20;Android;4;Með einkabíl;Rangt;Rétt;Skíðaferð til Selva í Ítalíu;3;Hunda;Bríet;Rétt;Rangt;4;Rétt;Rangt;400;Anna Helga;1820;Í fjallgöngu;180;Rangt;2000000;Rangt;3;Sveppi;150;Rangt;180;Rétt;2;2;Nei;STÆ209
Súkkulaði;50;Android;4;Með einkabíl;Rangt;Rangt;Skíðaferð til Selva í Ítalíu;3;Hunda;Aron Can;Rangt;Rangt;10;Rangt;Rangt;549;Anna Helga;1780;Á kaffihús;180;Rétt;1400000;Rangt;2;Sveppi;10565;Rangt;156;Rétt;0;2;Já;STÆ209
Vanilla;40;iOS;8;Með strætó;Rétt;Rétt;Sólarferð á amerísku ströndina á Tenerife;2;Ketti;Aron Can;Rétt;Rangt;9;Rangt;Rangt;565;Anna Helga;1756;Á kaffihús;63;Rangt;150000;Rangt;1;Sveppi;21876;Rétt;167;Rangt;0;3;Já;STÆ209
Súkkulaði;7;Android;7;Gangandi / skokkandi;Rangt;Rétt;Sólarferð á amerísku ströndina á Tenerife;2;Ketti;Aron Can;Rétt;Rétt;10;Rangt;Rangt;659;Anna Helga;1,98;Á kaffihús;118;Rétt;1,189,000;Rétt;0;Sveppi;6,248;Rangt;176;Rétt;7;5;Já;STÆ209
Vanilla;20;iOS;5;Með einkabíl;Rangt;Rangt;Skíðaferð til Selva í Ítalíu;1;Hunda;Aron Can;Rétt;Rétt;7;Rétt;Rétt;480;Anna Helga;1746;Á ísrúnt;150;Rangt;1000000;Rangt;3;Sveppi;20285;Rangt;170;Rétt;2;2;Já;STÆ209
